name,current_rank,current_pts
Aryna Sabalenka,1,8520
Elena Rybakina,2,7991
Jessica Pegula,3,6680
Coco Gauff,4,5714
Mirra Andreeva,5,5378
Karolína Muchová,6,4993
Linda Nosková,7,4973
Elina Svitolina,8,4634
Iga Świątek,9,4484
Amanda Anisimova,10,4383
Marta Kostyuk,11,3830
Belinda Bencic,12,2995
Naomi Osaka,13,2846
Iva Jovic,14,2671
Victoria Mboko,15,2530
Diana Shnaider,16,2413
Sorana Cîrstea,17,2239
Alexandra Eala,18,2221
Ekaterina Alexandrova,19,2186
Jasmine Paolini,20,2124
Maja Chwalińska,21,2037
Anna Kalinskaya,22,1933
Elise Mertens,23,1870
Madison Keys,24,1759
Anastasia Potapova,25,1756
Emma Navarro,26,1724
Barbora Krejčíková,27,1666
Marie Bouzková,28,1644
Ann Li,29,1518
Jeļena Ostapenko,30,1512
Leylah Fernandez,31,1454
Maria Sakkari,32,1415
Sára Bejlek,33,1327
Hailey Baptiste,34,1300
Janice Tjen,35,1293
Donna Vekić,36,1278
Magdalena Fręch,37,1240
Nikola Bartůňková,38,1237
Kateřina Siniaková,39,1234
Cristina Bucșa,40,1224
Xinyu Wang,41,1195
Jaqueline Cristian,42,1191
Clara Tauson,43,1184
Daria Snigur,44,1180
Ludmilla Samsonova,45,1159
Oleksandra Oliynykova,46,1159
Tamara Korpatsch,47,1148
Lilli Tagger,48,1141
Anhelina Kalinina,49,1115
Mayar Sherif,50,1105
Zeynep Sönmez,51,1087
Shuai Zhang,52,1085
Peyton Stearns,53,1061
Diane Parry,54,1058
Viktorija Golubic,55,1053
Karolína Plíšková,56,1051
Tereza Valentová,57,1045
Camila Osorio,58,1023
Daria Kasatkina,59,1003
Katie Boulter,60,1002
Talia Gibson,61,997
Ashlyn Krueger,62,992
Elena-Gabriela Ruse,63,991
Caty McNally,64,990
Mccartney Kessler,65,985
Elisabetta Cocciaretto,66,985
Alina Korneeva,67,980
Emma Raducanu,68,975
Kimberly Birrell,69,974
Anna Bondár,70,961
Renata Zarazúa,71,957
Lanlana Tararudee,72,955
Petra Marčinko,73,954
Yulia Starodubtseva,74,953
Maya Joint,75,951
Panna Udvardy,76,941
Hanne Vandewinkel,77,919
Magda Linette,78,916
Tatjana Maria,79,912
Yulia Putintseva,80,904
Antonia Ružić,81,894
Paula Badosa,82,885
Emiliana Arango,83,868
